date,chain,alpha,bound_reduction_%,mu_reduction_%
2025-09-17,injective,0.33,4.7,19.99
2025-09-17,near,0.33,64.32,27.12
2025-09-17,osmosis,0.33,16.11,20.39
2025-09-17,sei,0.33,4.23,16.89
2025-09-17,solana,0.33,99.1,28.11
2025-09-17,sui,0.33,17.07,16.66
2025-09-17,tezos,0.33,66.48,28.66
2025-09-18,avalanche,0.2,100.0,27.69
2025-09-18,celestia,0.2,69.66,23.66
2025-09-18,cosmoshub,0.2,94.74,28.15
2025-09-18,injective,0.2,46.12,21.83
2025-09-18,near,0.2,99.65,27.64
2025-09-18,osmosis,0.2,70.04,21.97
2025-09-18,sei,0.2,25.52,17.64
2025-09-18,solana,0.2,100.0,28.62
2025-09-18,sui,0.2,72.87,18.09
2025-09-18,tezos,0.2,99.01,28.99
2025-09-18,avalanche,0.25,100.0,27.52
2025-09-18,celestia,0.25,55.83,23.37
2025-09-18,cosmoshub,0.25,85.35,27.89
2025-09-18,injective,0.25,27.7,21.4
2025-09-18,near,0.25,95.56,27.45
2025-09-18,osmosis,0.25,49.68,21.22
2025-09-18,sei,0.25,13.9,17.24
2025-09-18,solana,0.25,100.0,28.43
2025-09-18,sui,0.25,53.36,17.46
2025-09-18,tezos,0.25,91.43,28.82
2025-09-18,avalanche,0.3,99.87,27.38
2025-09-18,celestia,0.3,30.84,22.56
2025-09-18,cosmoshub,0.3,68.29,27.67
2025-09-18,injective,0.3,11.33,21.04
2025-09-18,near,0.3,89.63,27.34
2025-09-18,osmosis,0.3,27.67,20.62
2025-09-18,sei,0.3,4.23,16.89
2025-09-18,solana,0.3,99.95,28.23
2025-09-18,sui,0.3,32.01,16.95
2025-09-18,tezos,0.3,66.66,28.67
2025-09-18,avalanche,0.33,98.58,27.3
2025-09-18,celestia,0.33,18.95,22.17
2025-09-18,cosmoshub,0.33,45.43,27.46
2025-09-18,injective,0.33,11.33,21.04
2025-09-18,near,0.33,64.34,27.11
2025-09-18,osmosis,0.33,16.57,20.35
2025-09-18,sei,0.33,4.23,16.89
2025-09-18,solana,0.33,99.13,28.11
2025-09-18,sui,0.33,17.03,16.66
